Year,Month,Day,Day Number,Dunstaffnage,Barcaldine,Inverawe,Weisdale,Lerwick
 1970.0,    4.0,    1.0,   91.0,   22.5,    5.0,   10.3,   27.1,    3.6
 1970.0,    4.0,    2.0,   92.0,    6.5,    4.9,    3.7,    0.3,    1.7
 1970.0,    4.0,    3.0,   93.0,    2.9,    3.3,    3.0,    0.9,    1.8
 1970.0,    4.0,    4.0,   94.0,    3.5,    3.7,    3.1,    1.9,    2.9
 1970.0,    4.0,    5.0,   95.0,    3.4,    5.6,    6.0,    1.7,    1.2
 1970.0,    4.0,    6.0,   96.0,    4.1,    4.0,    3.6,    2.7,    2.1
 1970.0,    4.0,    7.0,   97.0,    2.4,    2.6,    2.2,    6.5,    2.4
 1970.0,    4.0,    8.0,   98.0,    1.9,    2.7,    1.9,    5.1,    3.5
 1970.0,    4.0,    9.0,   99.0,    1.3,    1.7,    3.1,    2.5,    1.8
 1970.0,    4.0,   10.0,  100.0,    4.4,    4.8,    3.1,    3.5,    2.2
 1970.0,    4.0,   11.0,  101.0,    3.5,    3.5,    5.4,    8.1,    4.8
 1970.0,    4.0,   12.0,  102.0,    3.6,    2.4,    2.9,    4.3,    3.3
 1970.0,    4.0,   13.0,  103.0,    3.3,    3.0,    3.6,    4.0,    2.0
 1970.0,    4.0,   14.0,  104.0,    2.1,    2.2,    2.3,    3.9,    5.1
 1970.0,    4.0,   15.0,  105.0,    2.1,    3.7,    2.0,    1.1,    1.5
 1970.0,    4.0,   16.0,  106.0,    3.2,    3.4,    4.4,    2.0,    2.2
 1970.0,    4.0,   17.0,  107.0,    3.1,    3.4,    2.5,    4.7,    1.5
 1970.0,    4.0,   18.0,  108.0,    2.5,    3.3,    3.3,    1.8,    2.1
 1970.0,    4.0,   19.0,  109.0,    3.8,    3.0,    2.2,    1.3,    0.9
 1970.0,    4.0,   20.0,  110.0,    2.5,    3.2,    2.3,    0.2,    1.1
 1970.0,    4.0,   21.0,  111.0,    2.6,    3.9,    3.4,    0.6,    2.0
 1970.0,    4.0,   22.0,  112.0,    2.7,    4.6,    4.9,    0.0,    1.5
 1970.0,    4.0,   23.0,  113.0,    2.1,    3.5,    4.5,    1.3,    0.7
 1970.0,    4.0,   24.0,  114.0,    1.2,    3.8,    2.9,    0.4,    3.5
 1970.0,    4.0,   25.0,  115.0,    1.1,    1.4,    1.9,    0.8,    1.9
 1970.0,    4.0,   26.0,  116.0,    1.6,    3.0,    3.0,    1.1,    2.1
 1970.0,    4.0,   27.0,  117.0,    2.9,    4.1,    3.1,    0.9,    3.2
 1970.0,    4.0,   28.0,  118.0,    3.4,    3.7,    2.9,    1.8,    2.1
 1970.0,    4.0,   29.0,  119.0,    3.1,    3.8,    4.3,    2.7,    4.5
 1970.0,    4.0,   30.0,  120.0,    4.0,    3.9,    3.9,    0.1,    0.5
 1970.0,    5.0,    1.0,  121.0,   15.3,    2.3,   11.1,   46.9,    0.8
 1970.0,    5.0,    2.0,  122.0,    3.9,    2.1,    1.5,    4.4,    2.6
 1970.0,    5.0,    3.0,  123.0,    2.3,    2.4,    3.5,    1.1,    0.7
 1970.0,    5.0,    4.0,  124.0,    1.3,    2.1,    1.8,    1.6,    1.9
 1970.0,    5.0,    5.0,  125.0,    1.5,    2.9,    3.9,    6.5,    4.0
 1970.0,    5.0,    6.0,  126.0,    2.0,    3.5,    2.4,    2.5,    2.1
 1970.0,    5.0,    7.0,  127.0,    2.3,    3.1,    2.9,    1.3,    0.8
 1970.0,    5.0,    8.0,  128.0,    1.9,    3.2,    2.6,    1.4,    2.6
 1970.0,    5.0,    9.0,  129.0,    0.9,    1.6,    1.4,    1.1,    0.9
 1970.0,    5.0,   10.0,  130.0,    2.1,    2.0,    3.8,    1.2,    1.7
 1970.0,    5.0,   11.0,  131.0,    2.8,    2.9,    3.3,    2.3,    2.9
 1970.0,    5.0,   12.0,  132.0,    2.3,    3.8,    3.4,    0.5,    0.6
 1970.0,    5.0,   13.0,  133.0,    3.2,    3.9,    3.4,    1.1,    1.4
 1970.0,    5.0,   14.0,  134.0,    1.5,    2.9,    2.2,    2.4,    1.9
 1970.0,    5.0,   15.0,  135.0,    2.0,    2.1,    2.4,    3.0,    1.5
 1970.0,    5.0,   16.0,  136.0,    1.3,    2.0,    2.0,    1.0,    1.2
 1970.0,    5.0,   17.0,  137.0,    3.2,    2.6,    3.0,    1.6,    1.3
 1970.0,    5.0,   18.0,  138.0,    2.6,    2.5,    3.5,    2.9,    3.1
 1970.0,    5.0,   19.0,  139.0,    1.8,    2.5,    3.3,    2.1,    1.6
 1970.0,    5.0,   20.0,  140.0,    1.2,    1.8,    2.0,    0.8,    0.5
 1970.0,    5.0,   21.0,  141.0,    2.0,    2.5,    2.6,    1.1,    1.4
 1970.0,    5.0,   22.0,  142.0,    1.6,    1.7,    1.9,    2.4,    3.4
 1970.0,    5.0,   23.0,  143.0,    1.2,    2.5,    2.8,    1.1,    2.6
 1970.0,    5.0,   24.0,  144.0,    2.4,    3.8,    3.5,    1.0,    1.3
 1970.0,    5.0,   25.0,  145.0,    2.5,    3.8,    3.3,    0.3,    1.6
 1970.0,    5.0,   26.0,  146.0,    3.4,    3.8,    3.1,    3.8,    2.7
 1970.0,    5.0,   27.0,  147.0,    1.0,    1.9,    1.2,    0.1,    2.1
 1970.0,    5.0,   28.0,  148.0,    1.6,    2.2,    2.3,    0.0,    1.5
 1970.0,    5.0,   29.0,  149.0,    2.9,    3.3,    3.1,    1.6,    3.1
 1970.0,    5.0,   30.0,  150.0,    2.8,    3.6,    3.3,    0.3,    1.7
 1970.0,    5.0,   31.0,  151.0,    1.7,    2.6,    2.1,    0.1,    0.2
 1970.0,    6.0,    1.0,  152.0,   10.6,    4.8,    4.6,   14.0,    3.0
 1970.0,    6.0,    2.0,  153.0,    3.5,    4.2,    4.8,    1.8,    3.5
 1970.0,    6.0,    3.0,  154.0,    1.9,    3.0,    3.4,    2.9,    2.3
 1970.0,    6.0,    4.0,  155.0,    3.0,    3.7,    3.3,    2.7,    4.8
 1970.0,    6.0,    5.0,  156.0,    8.1,    3.2,    3.5,    0.7,    3.0
 1970.0,    6.0,    6.0,  157.0,    2.6,    2.3,    3.3,    0.6,    2.0
 1970.0,    6.0,    7.0,  158.0,    3.2,    3.3,    3.3,    0.7,    2.6
 1970.0,    6.0,    8.0,  159.0,    2.8,    3.0,    2.3,    0.7,    1.2
